2022-10-05,26,30,33,37,62,6
2022-10-03,2,16,22,55,63,22
2022-10-01,8,21,22,65,69,26
2022-09-28,6,10,24,33,67,11
2022-09-26,13,20,31,33,59,20
2022-09-24,3,9,21,24,29,14
2022-09-21,6,33,34,45,54,7
2022-09-19,7,15,36,46,67,7
2022-09-17,5,25,36,51,61,1
2022-09-14,9,10,20,22,52,25
2022-09-12,6,14,16,34,66,25
2022-09-10,38,42,56,68,69,4
2022-09-07,3,16,30,33,36,20
2022-09-05,4,7,32,55,64,25
2022-09-03,18,27,49,65,69,9
2022-08-31,7,8,19,24,28,1
2022-08-29,13,36,43,61,69,18
2022-08-27,2,18,56,60,65,14
2022-08-24,6,24,35,37,44,22
2022-08-22,12,27,34,55,67,9
2022-08-20,5,9,11,16,66,7
2022-08-17,23,28,41,50,55,24
2022-08-15,20,24,47,50,63,5
2022-08-13,19,24,35,43,62,2
2022-08-10,29,44,59,61,68,19
2022-08-08,32,45,51,57,58,12
2022-08-06,8,15,46,56,68,3
2022-08-03,9,21,56,57,66,11
2022-08-01,15,21,31,36,65,16
2022-07-30,4,17,57,58,68,12
2022-07-27,1,25,44,55,57,26
2022-07-25,25,37,38,39,65,5
2022-07-23,39,41,54,59,62,12
2022-07-20,10,20,23,49,65,22
2022-07-18,14,34,36,50,58,5
2022-07-16,3,18,23,32,57,21
2022-07-13,22,23,36,47,63,2
2022-07-11,4,26,34,37,52,9
2022-07-09,14,22,42,46,52,24
2022-07-06,32,36,49,62,69,13
2022-07-04,15,16,24,31,56,4
2022-07-02,9,10,37,59,62,26
2022-06-29,8,40,49,58,63,14
2022-06-27,11,13,18,30,37,16
2022-06-25,6,12,20,27,32,4
2022-06-22,6,10,31,48,56,12
2022-06-20,3,44,61,63,69,13
2022-06-18,10,19,40,45,58,25
2022-06-15,19,28,41,42,51,7
2022-06-13,2,27,42,44,51,25
2022-06-11,18,20,26,53,69,5
2022-06-08,22,39,43,62,64,7
2022-06-06,2,10,35,44,46,4
2022-06-04,14,16,36,52,60,16
2022-06-01,11,41,56,57,63,2
2022-05-30,27,28,51,68,69,22
2022-05-28,2,39,50,61,66,15
2022-05-25,19,28,39,42,57,17
2022-05-23,1,33,37,39,42,26
2022-05-21,14,15,25,52,58,11
2022-05-18,40,41,58,64,65,17
2022-05-16,7,15,22,36,64,13
2022-05-14,6,40,41,45,52,9
2022-05-11,5,7,61,63,69,18
2022-05-09,18,30,35,52,56,5
2022-05-07,4,5,6,28,67,10
2022-05-04,37,39,55,63,69,23
2022-05-02,18,27,33,39,44,8
2022-04-30,14,21,37,44,63,1
2022-04-27,11,36,61,62,68,4
2022-04-25,12,18,20,39,61,10
2022-04-23,10,39,47,49,56,8
2022-04-20,20,30,45,55,56,14
2022-04-18,8,33,55,59,62,18
2022-04-16,15,21,32,62,65,26
2022-04-13,14,16,41,63,68,26
2022-04-11,5,7,24,31,34,4
2022-04-09,6,16,31,62,66,18
2022-04-06,6,42,45,47,64,18
2022-04-04,2,32,39,46,69,6
2022-04-02,6,28,47,58,59,18
2022-03-30,3,7,21,31,37,11
2022-03-28,11,18,39,58,62,3
2022-03-26,2,10,50,59,61,6
2022-03-23,31,32,37,38,48,24
2022-03-21,1,15,26,63,65,16
2022-03-19,8,9,18,48,52,6
2022-03-16,3,28,34,35,58,17
2022-03-14,21,28,32,44,49,6
2022-03-12,19,20,37,39,61,8
2022-03-09,13,22,34,51,67,10
2022-03-07,10,43,55,59,67,2
2022-03-05,8,23,37,52,63,13
2022-03-02,19,37,48,61,63,12
2022-02-28,7,21,39,47,55,19
2022-02-26,15,32,36,48,64,19
2022-02-23,6,17,21,35,64,18
2022-02-21,2,36,37,45,69,3
2022-02-19,3,10,15,33,42,11
2022-02-16,22,30,40,42,48,16
2022-02-14,16,25,27,49,55,17
2022-02-12,8,10,21,41,62,7
2022-02-09,2,17,33,51,63,26
2022-02-07,5,15,38,47,65,10
2022-02-05,5,16,27,39,61,24
2022-02-02,18,29,33,62,63,15
2022-01-31,10,15,51,61,69,14
2022-01-29,2,15,38,54,65,11
2022-01-26,4,11,38,49,69,16
2022-01-24,11,29,30,47,53,16
2022-01-22,8,14,33,36,67,17
2022-01-19,11,15,43,55,61,10
2022-01-17,9,24,35,46,65,22
2022-01-15,3,18,37,51,59,13
2022-01-12,12,21,22,30,33,24
2022-01-10,14,17,18,21,27,9
2022-01-08,20,21,36,60,65,13
2022-01-05,6,14,25,33,46,17
2022-01-03,2,13,32,33,48,22
2022-01-01,6,12,39,48,50,7
2021-12-29,2,6,9,33,39,11
2021-12-27,36,38,45,62,64,19
2021-12-25,27,29,45,55,58,2
2021-12-22,7,16,19,48,68,15
2021-12-20,2,13,23,34,66,2
2021-12-18,2,6,24,51,61,1
2021-12-15,19,20,40,42,59,15
2021-12-13,10,30,37,53,59,4
2021-12-11,3,25,44,53,64,10
2021-12-08,3,7,33,50,69,24
2021-12-06,3,21,38,50,59,6
2021-12-04,10,40,45,56,67,2
2021-12-01,12,15,38,57,63,24
2021-11-29,18,26,28,38,47,17
2021-11-27,8,32,55,64,66,10
2021-11-24,10,16,32,63,65,17
2021-11-22,7,20,29,38,67,22
2021-11-20,40,43,48,59,69,19
2021-11-17,3,16,48,52,60,1
2021-11-15,5,31,34,51,53,23
2021-11-13,8,15,26,35,45,9
2021-11-10,19,25,43,46,48,14
2021-11-08,21,46,47,57,62,8
2021-11-06,8,30,48,57,64,9
2021-11-03,1,2,24,50,57,26
2021-11-01,9,25,34,44,45,8
2021-10-30,5,23,28,43,56,19
2021-10-27,3,6,26,35,51,17
2021-10-25,10,27,29,44,58,24
2021-10-23,10,30,51,57,63,20
2021-10-20,7,29,36,41,43,5
2021-10-18,30,32,48,53,63,12
2021-10-16,30,31,41,42,48,3
2021-10-13,23,29,47,59,60,15
2021-10-11,11,20,33,39,65,24
2021-10-09,12,17,30,45,62,5
2021-10-06,1,17,52,58,64,1
2021-10-04,12,22,54,66,69,15
2021-10-02,28,38,42,47,52,1
2021-09-29,2,7,11,17,32,11
2021-09-27,21,22,39,44,60,12
2021-09-25,22,23,37,62,63,19
2021-09-22,20,40,47,55,63,5
2021-09-20,37,51,54,58,60,19
2021-09-18,5,36,39,45,57,11
2021-09-15,1,4,18,46,62,25
2021-09-13,37,40,50,61,63,21
2021-09-11,20,31,38,40,49,21
2021-09-08,9,22,41,47,61,21
2021-09-06,11,20,22,33,54,24
2021-09-04,32,35,40,52,54,1
2021-09-01,10,20,29,48,51,17
2021-08-30,3,15,45,51,61,8
2021-08-28,12,22,26,46,59,26
2021-08-25,27,39,54,56,59,24
2021-08-23,17,36,47,60,61,15
2021-08-21,16,28,36,39,59,4
2021-08-18,35,36,51,55,61,26
2021-08-14,6,21,49,65,67,18
2021-08-11,12,18,20,29,30,16
2021-08-07,7,24,36,54,60,23
2021-08-04,5,21,32,36,58,14
2021-07-31,1,21,22,34,47,4
2021-07-28,25,30,53,59,60,5
2021-07-24,1,4,11,59,67,10
2021-07-21,27,28,44,67,68,11
2021-07-17,15,22,38,54,66,3
2021-07-14,33,46,52,59,62,10
2021-07-10,1,5,29,54,62,3
2021-07-07,8,21,30,49,57,8
2021-07-03,26,40,41,55,65,24
2021-06-30,24,29,50,65,66,14
2021-06-26,8,31,39,43,60,17
2021-06-23,13,20,40,51,63,1
2021-06-19,4,22,35,38,39,20
2021-06-16,19,29,34,44,50,25
2021-06-12,8,25,34,38,41,10
2021-06-09,19,28,46,50,54,9
2021-06-05,44,52,54,64,69,26
2021-06-02,6,7,11,66,67,19
2021-05-29,11,13,22,27,46,20
2021-05-26,2,8,21,34,62,16
2021-05-22,3,19,27,37,40,8
2021-05-19,11,13,55,56,69,4
2021-05-15,4,10,37,39,69,24
2021-05-12,1,19,20,38,54,17
2021-05-08,12,17,20,21,26,8
2021-05-05,16,23,28,40,63,1
2021-05-01,35,36,47,61,63,3
2021-04-28,16,18,35,39,53,21
2021-04-24,22,36,48,59,61,22
2021-04-21,21,25,32,63,67,6
2021-04-17,10,21,26,41,49,25
2021-04-14,13,30,33,45,61,14
2021-04-10,14,16,23,50,53,3
2021-04-07,27,35,39,51,66,16
2021-04-03,1,12,17,39,53,5
2021-03-31,3,10,44,55,68,24
2021-03-27,6,14,38,39,65,6
2021-03-24,4,9,17,27,38,18
2021-03-20,1,6,22,42,61,4
2021-03-17,34,38,42,61,62,19
2021-03-13,5,11,51,56,61,2
2021-03-10,17,18,37,44,53,18
2021-03-06,11,31,50,52,58,18
2021-03-03,21,40,44,50,55,16
2021-02-27,2,28,31,44,52,18
2021-02-24,4,33,43,53,65,21
2021-02-20,4,8,22,32,58,4
2021-02-17,1,15,21,32,46,1
2021-02-13,20,28,33,63,68,20
2021-02-10,15,39,58,63,67,7
2021-02-06,1,16,48,49,65,8
2021-02-03,5,37,40,64,66,5
2021-01-30,1,2,7,52,61,4
2021-01-27,17,33,35,42,52,9
2021-01-23,5,8,17,27,28,14
2021-01-20,40,53,60,68,69,22
2021-01-16,14,20,39,65,67,2
2021-01-13,4,19,23,25,49,14
2021-01-09,14,26,38,45,46,13
2021-01-06,1,20,22,60,66,3
2021-01-02,3,4,11,41,67,5
